Track,Artist,track_id,Release Date,Spotify Streams,Spotify Popularity,YouTube Views,TikTok Views,danceability,energy,valence,tempo,loudness,acousticness,speechiness,instrumentalness,liveness,track_genre,explicit,popularity,year
As It Was,Harry Styles,4LRPiXqCikLlN15c3yImP7,3/31/2022,3301814535.0,87.0,800899315.0,15405881843.0,0.52,0.731,0.662,173.93,-5.338,0.342,0.0557,0.00101,0.311,pop,False,95,2022
Baby Shark,Pinkfong,5ygDXis42ncn6kYG14lEVG,12/1/2015,720822868.0,71.0,16322756555.0,6577639193.0,0.829,0.886,0.777,115.056,-1.746,0.259,0.112,0.0,0.0559,children,False,77,2015
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,1/6/2017,3909458734.0,80.0,8013997219.0,2320856331.0,0.825,0.652,0.931,95.977,-3.183,0.581,0.0802,0.0,0.0931,pop,False,86,2017
Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,11/29/2019,4281468720.0,83.0,833807130.0,3501177394.0,0.514,0.73,0.334,171.005,-5.934,0.00146,0.0598,9.54e-05,0.0897,pop,False,91,2019
Heat Waves,Glass Animals,6CDzDgIUqeDY5g8ujExx2f,6/29/2020,2996181078.0,82.0,1272898075.0,5518429969.0,0.761,0.525,0.531,80.87,-6.9,0.44,0.0944,6.7e-06,0.0921,indie-pop,False,85,2020
In the End,Linkin Park,60a0Rd6pjrkxjPbaKzXjfq,4/12/2024,2045512421.0,,,,0.556,0.864,0.4,105.143,-5.87,0.00958,0.0584,0.0,0.209,alternative,False,85,2024
Old Town Road,Lil Nas X,0F7FA14euOIX8KcbEturGH,3/14/2019,1010494713.0,67.0,3203314695.0,1981431049.0,0.907,0.53,0.507,135.998,-6.112,0.0578,0.127,2.23e-06,0.101,hip-hop,False,77,2019
Perfect,Ed Sheeran,0tgVpDi06FyKpA1z0VMD4v,3/3/2017,2969999682.0,81.0,6473698897.0,7647479866.0,0.599,0.448,0.168,95.05,-6.312,0.163,0.0232,0.0,0.106,pop,False,87,2017
Pepas,Farruko,5fwSHlTEWpluwOM0Sxnh5k,6/24/2021,1500499584.0,74.0,1431591689.0,4067248819.0,0.762,0.766,0.442,130.001,-3.955,0.00776,0.0343,6.98e-05,0.128,latin,True,86,2021
Easy On Me,Adele,0gplL1WMoJ6iYaPgMCL0gX,10/14/2021,1720918065.0,73.0,1194846205.0,7860224413.0,0.604,0.366,0.13,141.981,-7.519,0.578,0.0282,0.0,0.133,british,False,85,2021
